locatie,detalii,pret
"Iasi, IS, Bucium",2 camere  •  62 m²  •  etajul 1/2  •  2020  •  decomandat,64.000 eur
"Bragadiru, IF, Haliu",2 camere  •  53 m²  •  etajul 2  •  2020  •  decomandat,44.500 eur
"Constanta, CT, Mamaia Nord",2 camere  •  68 m²  •  etajul 3/6  •  2017  •  semidecomandat,108.000 eur
"Arad, AR, Aurel Vlaicu",3 camere  •  48 m²  •  etajul 8/10  •  1980  •  semidecomandat,52.000 eur
"Ploiesti, PH, Gheorghe Doja",3 camere  •  74 m²  •  etajul 6/7  •  1992  •  decomandat,76.000 eur
"Chiajna, IF, Nord-Vest",3 camere  •  72 m²  •  etajul 8  •  2020  •  decomandat,75.600 eur
"Baciu, CJ, Central",5 camere  •  235 m²  •  etajul 7/7  •  2016  •  semidecomandat,400.000 eur
"Bucuresti, IF, Pipera",5 camere  •  200 m²  •  etajul 4  •  2021  •  decomandat,520.000 eur
"Braila, BR, Dorobanti",3 camere  •  65 m²  •  etajul 3  •  1978  •  decomandat,55.000 eur
"Iasi, IS, Dacia",3 camere  •  73 m²  •  etajul 4/4  •  1977  •  decomandat,75.000 eur
"Iasi, IS, Dacia",2 camere  •  50 m²  •  etajul 9  •  1980  •  decomandat,58.000 eur
"Constanta, CT, Tomis Nord",3 camere  •  87 m²  •  etajul 2/8  •  2020  •  decomandat,170.000 eur
"Bucuresti, IF, Ferentari",2 camere  •  36 m²  •  etajul 3/4  •  1972  •  semidecomandat,31.000 eur
"Floresti, CJ, Central",3 camere  •  67 m²  •  etajul 4/4  •  2011  •  decomandat,79.900 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 7/8  •  2020  •  decomandat,51.062 eur
"Arad, AR, Polivalenta",3 camere  •  90 m²  •  etajul 2/10  •  1980  •  decomandat,82.800 eur
"Pitesti, AG, Central",3 camere  •  45 m²  •  etajul 3/5  •  1975  •  semidecomandat,63.999 eur
"Ploiesti, PH, Nord",2 camere  •  51 m²  •  etajul 1/4  •  1970  •  decomandat,45.000 eur
"Brasov, BV, Tractorul",4 camere  •  100 m²  •  etajul 4  •  2020  •  decomandat,195.000 eur
"Brasov, BV, Tractorul",2 camere  •  75 m²  •  etajul 2  •  2010  •  decomandat,90.000 eur
"Otopeni, IF, Central",3 camere  •  85 m²  •  etajul 2/2  •  1989  •  decomandat,92.500 eur
"Brasov, BV, Brasovul Vechi",3 camere  •  75 m²  •  etajul 1  •  1980  •  decomandat,165.000 eur
"Bucuresti, IF, Baneasa",3 camere  •  67 m²  •  etajul 4/4  •  2020  •  decomandat,220.000 eur
"Floresti, CJ, Central",2 camere  •  50 m²  •  etajul 3/3  •  2019  •  semidecomandat,74.500 eur
"Chiajna, IF, Central",2 camere  •  46 m²  •  etajul 4/8  •  2020  •  decomandat,48.825 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  61 m²  •  etajul 4/4  •  1976  •  decomandat,79.900 eur
"Floresti, CJ, Central",2 camere  •  40 m²  •  etajul 4/4  •  2020  •  semidecomandat,60.000 eur
"Bucuresti, IF, Berceni",2 camere  •  50 m²  •  etajul 1  •  1970  •  decomandat,59.999 eur
"Bacau, BC, Sud",2 camere  •  50 m²  •  etajul 4  •  1975  •  decomandat,44.000 eur
"Bucuresti, IF, Militari",1 cameră  •  35 m²  •  etajul 6/10  •  1977  •  semidecomandat,55.000 eur
"Iasi, IS, Tatarasi",2 camere  •  50 m²  •  etajul 4  •  1970  •  semidecomandat,36.000 eur
"Brasov, BV, Florilor",2 camere  •  40 m²  •  etajul 1  •  1980  •  circular,51.000 eur
"Bucuresti, IF, Titan",2 camere  •  52 m²  •  etajul 2/10  •  1977  •  decomandat,77.000 eur
"Bucuresti, IF, Doamna Ghica",3 camere  •  62 m²  •  etajul 4/12+  •  1975  •  decomandat,116.500 eur
"Bucuresti, IF, Vitan Mall",3 camere  •  78 m²  •  etajul 1/3  •  2021  •  decomandat,134.500 eur
"Iasi, IS, Copou",3 camere  •  88 m²  •  etajul 2  •  2021  •  decomandat,84.800 eur
"Deva, HD, Ultracentral",3 camere  •  68 m²  •  etajul 1  •  1980  •  semidecomandat,85.000 eur
"Bucuresti, IF, Tineretului",2 camere  •  53 m²  •  etajul 7/8  •  1976  •  decomandat,94.900 eur
"Bucuresti, IF, Theodor Pallady",2 camere  •  42 m²  •  etajul 7/12+  •  2019  •  decomandat,71.000 eur
"Arad, AR, Micalaca",2 camere  •  60 m²  •  etajul 3/4  •  1980  •  decomandat,62.000 eur
"Brasov, BV, Racadau",3 camere  •  85 m²  •  etajul 3  •  1980  •  decomandat,117.000 eur
"Bucuresti, IF, Vitan Mall",1 cameră  •  37 m²  •  etajul 7/8  •  1989  •  decomandat,66.490 eur
"Craiova, DJ, Ultracentral",3 camere  •  72 m²  •  etajul 3/4  •  1982  •  decomandat,150.000 eur
"Bucuresti, IF, Mosilor",4 camere  •  86 m²  •  etajul 8/9  •  1980  •  decomandat,135.000 eur
"Iasi, IS, Alexandru cel Bun",3 camere  •  53 m²  •  etajul 4  •  1974  •  semidecomandat,51.900 eur
"Brasov, BV, Tractorul",2 camere  •  45 m²  •  etajul 4  •  1978  •  decomandat,54.000 eur
"Focsani, VN, Central",2 camere  •  53 m²  •  etajul 2/8  •  1982  •  decomandat,49.000 eur
"Brasov, BV, Avantgarden",3 camere  •  72 m²  •  etajul 3  •  2018  •  decomandat,125.000 eur
"Bucuresti, IF, P-ta Sfanta Vineri",3 camere  •  93 m²  •  etajul 7/8  •  1993  •  decomandat,189.000 eur
"Sibiu, SB, Calea Cisnadiei",3 camere  •  72 m²  •  etajul 3/3  •  2021  •  nedecomandat,87.000 eur
"Bucuresti, IF, P-ta Victoriei",2 camere  •  45 m²  •  etajul 7/10  •  1975  •  semidecomandat,99.000 eur
"Alba Iulia, AB, Cetate",4 camere  •  85 m²  •  etajul 4/4  •  1990  •  decomandat,75.000 eur
"Bucuresti, IF, Sebastian",3 camere  •  67 m²  •  etajul 6/8  •  1986  •  decomandat,89.990 eur
"Oradea, BH, Central",3 camere  •  89 m²  •  etajul 1/4  •  2021  •  decomandat,135.000 eur
"Ploiesti, PH, P-ta Mihai Viteazu",2 camere  •  62 m²  •  etajul 6/10  •  1978  •  semidecomandat,65.000 eur
"Pitesti, AG, Exercitiu",3 camere  •  65 m²  •  etajul 2  •  1978  •  decomandat,75.000 eur
"Sibiu, SB, Central",2 camere  •  52 m²  •  etajul 1/1  •  2021  •  semidecomandat,62.000 eur
"Brasov, BV, Avantgarden",2 camere  •  54 m²  •  etajul 6  •  2014  •  decomandat,85.000 eur
"Bragadiru, IF, Haliu",2 camere  •  46 m²  •  etajul 3/3  •  2015  •  semidecomandat,53.000 eur
"Alba Iulia, AB, Cetate",3 camere  •  60 m²  •  etajul 3  •  1975  •  semidecomandat,67.000 eur
"Braila, BR, Hipodrom",2 camere  •  50 m²  •  etajul 3  •  1975  •  semidecomandat,45.000 eur
"Bucuresti, IF, Octavian Goga",3 camere  •  74 m²  •  etajul 8/8  •  1991  •  decomandat,144.900 eur
"Brasov, BV, Astra",3 camere  •  80 m²  •  etajul 3  •  1980  •  decomandat,107.000 eur
"Brasov, BV, Racadau",3 camere  •  65 m²  •  etajul 4  •  1980  •  decomandat,98.000 eur
"Chiajna, IF, Nord-Vest",2 camere  •  47 m²  •  etajul 7  •  2020  •  decomandat,49.875 eur
"Timisoara, TM, Dacia",2 camere  •  40 m²  •  etajul 4/4  •  1980  •  semidecomandat,59.000 eur
"Botosani, BT, Central",3 camere  •  60 m²  •  etajul 3/4  •  1986  •  decomandat,64.500 eur
"Galati, GL, Micro 17",2 camere  •  47 m²  •  etajul 4  •  1987  •  decomandat,50.000 eur
"Bucuresti, IF, Octavian Goga",1 cameră  •  40 m²  •  etajul 4/8  •  1990  •  decomandat,89.000 eur
"Oradea, BH, Rogerius",4 camere  •  80 m²  •  etajul 2  •  1990  •  decomandat,109.000 eur
"Constanta, CT, Dacia",2 camere  •  57 m²  •  etajul 4/4  •  1977  •  decomandat,75.000 eur
"Bucuresti, IF, Colentina",2 camere  •  40 m²  •  etajul 5  •  1980  •  semidecomandat,59.000 eur
"Piatra Neamt, NT, Central",3 camere  •  75 m²  •  etajul 4  •  1979  •  decomandat,72.000 eur
"Bucuresti, IF, Oltenitei",3 camere  •  96 m²  •  etajul 1/6  •  2021  •  decomandat,120.000 eur
"Bucuresti, IF, 13 Septembrie",3 camere  •  76 m²  •  etajul 1/8  •  1986  •  decomandat,125.000 eur
"Cluj-Napoca, CJ, Andrei Muresanu",3 camere  •  97 m²  •  etajul 2/2  •  2004  •  semidecomandat,285.000 eur
"Constanta, CT, Central",3 camere  •  72 m²  •  etajul 7/7  •  1979  •  decomandat,125.000 eur
"Chiajna, IF, Central",2 camere  •  57 m²  •  etajul 8/8  •  2020  •  decomandat,60.375 eur
"Galati, GL, Micro 16",2 camere  •  50 m²  •  etajul 2  •  1970  •  semidecomandat,60.000 eur
"Bucuresti, IF, Vitan Mall",4 camere  •  92 m²  •  etajul 8/8  •  1995  •  decomandat,133.900 eur
"Bucuresti, IF, Baneasa",4 camere  •  128 m²  •  etajul 1/3  •  2021  •  decomandat,350.000 eur
"Dobroesti, IF, Central",2 camere  •  61 m²  •  etajul 1/4  •  2020  •  decomandat,82.000 eur
"Galati, GL, I.C.Frimu",2 camere  •  50 m²  •  etajul 4  •  1985  •  decomandat,58.800 eur
"Iasi, IS, Tudor Vladimirescu",4 camere  •  125 m²  •  etajul 4/4  •  2004  •  decomandat,110.000 eur
"Baia Mare, MM, Vasile Alecsandri",2 camere  •  64 m²  •  etajul 2  •  1990  •  decomandat,61.000 eur
"Brasov, BV, Grivitei",2 camere  •  40 m²  •  etajul 3  •  1980  •  semidecomandat,64.000 eur
"Cluj-Napoca, CJ, Manastur",4 camere  •  82 m²  •  etajul 1/4  •  1974  •  decomandat,178.000 eur
"Bucuresti, IF, Basarabia",2 camere  •  55 m²  •  etajul 4/8  •  1971  •  decomandat,74.000 eur
"Iasi, IS, Alexandru cel Bun",1 cameră  •  24 m²  •  etajul 2  •  1977  •  decomandat,35.000 eur
"Chiajna, IF, Est",2 camere  •  54 m²  •  etajul 2  •  2020  •  decomandat,58.050 eur
"Bucuresti, IF, Nicolae Grigorescu",4 camere  •  84 m²  •  etajul 5  •  1980  •  semidecomandat,144.000 eur
"Bucuresti, IF, Vitan Mall",4 camere  •  100 m²  •  etajul 4/4  •  1994  •  decomandat,130.000 eur
"Brasov, BV, Grivitei",3 camere  •  86 m²  •  etajul 5  •  2001  •  decomandat,112.000 eur
"Bucuresti, IF, Drumul Taberei",1 cameră  •  32 m²  •  etajul 9/10  •  1978  •  semidecomandat,43.999 eur
"Hunedoara, HD, Central",2 camere  •  45 m²  •  etajul 4/4  •  1985  •  semidecomandat,27.900 eur
"Bucuresti, IF, Prelungirea Ghencea",2 camere  •  67 m²  •  etajul 3  •  2019  •  decomandat,65.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  52 m²  •  etajul 6/9  •  1970  •  semidecomandat,65.500 eur
"Chiajna, IF, Central",3 camere  •  71 m²  •  etajul 3/8  •  2014  •  semidecomandat,67.000 eur
"Chiajna, IF, Central",3 camere  •  72 m²  •  etajul 5/8  •  2020  •  decomandat,75.600 eur
"Oradea, BH, Nufarul",2 camere  •  50 m²  •  etajul 1  •  2020  •  decomandat,65.000 eur
"Mamaia, CT, Nord",4 camere  •  94 m²  •  etajul 3/4  •  2020  •  semidecomandat,225.000 eur
"Chiajna, IF, Central",2 camere  •  57 m²  •  etajul 4/8  •  2020  •  decomandat,61.812 eur
"Cluj-Napoca, CJ, Borhanci",2 camere  •  56 m²  •  etajul 1/3  •  2018  •  semidecomandat,145.000 eur
"Oradea, BH, Central",3 camere  •  64 m²  •  etajul 7/8  •  1980  •  semidecomandat,85.000 eur
"Iasi, IS, Alexandru cel Bun",3 camere  •  60 m²  •  etajul 4  •  1981  •  decomandat,82.000 eur
"Brasov, BV, Gemenii",2 camere  •  50 m²  •  etajul 1  •  1980  •  semidecomandat,71.000 eur
"Mamaia, CT, Nord",2 camere  •  59 m²  •  etajul 3  •  2019  •  decomandat,115.000 eur
"Iasi, IS, Mircea cel Batran",3 camere  •  60 m²  •  etajul 3/4  •  1974  •  decomandat,80.000 eur
"Iasi, IS, Gara",2 camere  •  52 m²  •  etajul 7  •  1983  •  decomandat,72.000 eur
"Chiajna, IF, Central",2 camere  •  57 m²  •  etajul 8/8  •  2020  •  decomandat,61.812 eur
"Iasi, IS, Tatarasi",2 camere  •  50 m²  •  etajul 6  •  1970  •  decomandat,72.000 eur
"Bucuresti, IF, Vitan",2 camere  •  60 m²  •  etajul 4/8  •  1991  •  decomandat,109.990 eur
"Bucuresti, IF, Aviatiei",3 camere  •  88 m²  •  etajul 3/8  •  2008  •  semidecomandat,192.000 eur
"Brasov, BV, Astra",4 camere  •  80 m²  •  etajul 3  •  1980  •  decomandat,116.000 eur
"Oradea, BH, Rogerius",3 camere  •  61 m²  •  etajul 1/12+  •  2021  •  decomandat,85.000 eur
"Galati, GL, Micro 17",3 camere  •  60 m²  •  etajul 1  •  1986  •  decomandat,66.500 eur
"Tulcea, TL, Vest",4 camere  •  60 m²  •  etajul 2/4  •  1980  •  semidecomandat,64.000 eur
"Iasi, IS, Podu Ros",2 camere  •  57 m²  •  etajul 9/10  •  1990  •  decomandat,60.000 eur
"Bucuresti, IF, Rahova",2 camere  •  66 m²  •  etajul 2/9  •  2021  •  decomandat,76.900 eur
"Alba Iulia, AB, Cetate",2 camere  •  48 m²  •  etajul 4  •  1980  •  semidecomandat,48.000 eur
"Bod, BV, Nord-Vest",2 camere  •  50 m²  •  etajul 3/3  •  1990  •  decomandat,48.000 eur
"Tulcea, TL, E3",3 camere  •  70 m²  •  etajul 4  •  1988  •  decomandat,71.000 eur
"Chiajna, IF, Nord-Vest",3 camere  •  72 m²  •  etajul 4  •  2020  •  decomandat,75.600 eur
"Bucuresti, IF, Alexandru Obregia",2 camere  •  45 m²  •  etajul 8/10  •  1976  •  decomandat,64.000 eur
"Iasi, IS, Pacurari",3 camere  •  60 m²  •  etajul 3/4  •  1983  •  decomandat,83.900 eur
"Bucuresti, IF, Bucurestii Noi",2 camere  •  53 m²  •  etajul 2/5  •  2013  •  semidecomandat,83.500 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  60 m²  •  etajul 6/10  •  1973  •  semidecomandat,73.000 eur
"Bucuresti, IF, Gorjului",2 camere  •  51 m²  •  etajul 7/9  •  1978  •  semidecomandat,74.990 eur
"Bucuresti, IF, Titan",2 camere  •  55 m²  •  etajul 4/12+  •  2009  •  semidecomandat,90.000 eur
"Arad, AR, Alfa",2 camere  •  66 m²  •  etajul 3/4  •  1985  •  decomandat,55.500 eur
"Arad, AR, Miorita",5 camere  •  115 m²  •  etajul 4/4  •  1970  •  decomandat,73.000 eur
"Brasov, BV, Garii",2 camere  •  50 m²  •  etajul 5  •  1980  •  decomandat,84.500 eur
"Constanta, CT, Vest",2 camere  •  86 m²  •  etajul 2/12  •  2021  •  decomandat,149.900 eur
"Cluj-Napoca, CJ, Andrei Muresanu",2 camere  •  52 m²  •  etajul 6/8  •  2017  •  semidecomandat,185.000 eur
"Bucuresti, IF, Colentina",2 camere  •  53 m²  •  etajul 8/8  •  1986  •  decomandat,68.499 eur
"Oancea, GL, Central",2 camere  •  36 m²  •  etajul 1/2  •  1980  •  semidecomandat,17.500 eur
"Iasi, IS, Frumoasa",3 camere  •  72 m²  •  etajul 4  •  1985  •  decomandat,115.000 eur
"Bucuresti, IF, Aparatorii Patriei",2 camere  •  57 m²  •  etajul 6/7  •  2021  •  decomandat,73.840 eur
"Constanta, CT, Inel II",3 camere  •  72 m²  •  etajul 4/4  •  1990  •  decomandat,84.500 eur
"Fundeni, IF, Central",3 camere  •  59 m²  •  etajul 3  •  2012  •  decomandat,90.000 eur
"Barlad, VS, Est",3 camere  •  75 m²  •  etajul 2  •  1984  •  decomandat,53.000 eur
"Otopeni, IF, Odai",2 camere  •  70 m²  •  etajul 3/4  •  2018  •  decomandat,90.000 eur
"Braila, BR, Obor",3 camere  •  67 m²  •  etajul 4/4  •  1980  •  decomandat,44.800 eur
"Drumul Carului, BV, Central",2 camere  •  55 m²  •  etajul 1/4  •  1980  •  semidecomandat,77.000 eur
"Brasov, BV, Tractorul",2 camere  •  52 m²  •  etajul 5/8  •  2020  •  decomandat,135.000 eur
"Iasi, IS, Canta",2 camere  •  45 m²  •  etajul 4/5  •  1980  •  decomandat,62.000 eur
"Bucuresti, IF, Domenii",3 camere  •  65 m²  •  etajul 3/7  •  2020  •  decomandat,189.000 eur
"Iasi, IS, Pacurari",2 camere  •  44 m²  •  etajul 2  •  2020  •  decomandat,31.000 eur
"Tulcea, TL, Babadag",2 camere  •  60 m²  •  etajul 1/7  •  2006  •  decomandat,75.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  58 m²  •  etajul 7  •  1974  •  circular,59.500 eur
"Bucuresti, IF, Pantelimon",4 camere  •  77 m²  •  etajul 9/10  •  1976  •  decomandat,89.900 eur
"Cluj-Napoca, CJ, Marasti",2 camere  •  52 m²  •  etajul 4/4  •  1980  •  decomandat,118.000 eur
"Bucuresti, IF, Unirii",3 camere  •  89 m²  •  etajul 8/9  •  1992  •  decomandat,195.000 eur
"Timisoara, TM, Blascovici",1 cameră  •  22 m²  •  etajul 2/4  •  1982  •  decomandat,38.000 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  47 m²  •  etajul 3/10  •  1978  •  decomandat,59.990 eur
"Brasov, BV, Tractorul",3 camere  •  70 m²  •  etajul 1  •  1980  •  decomandat,93.500 eur
"Braila, BR, Hipodrom",2 camere  •  37 m²  •  etajul 4  •  1980  •  semidecomandat,32.000 eur
"Bucuresti, IF, Titan",3 camere  •  80 m²  •  etajul 7/7  •  2021  •  decomandat,89.490 eur
"Bragadiru, IF, Haliu",2 camere  •  56 m²  •  etajul 1  •  2019  •  decomandat,38.000 eur
"Ploiesti, PH, Republicii",2 camere  •  62 m²  •  etajul 6/9  •  1987  •  semidecomandat,65.000 eur
"Cluj-Napoca, CJ, Marasti",3 camere  •  71 m²  •  etajul 4/8  •  1990  •  semidecomandat,149.000 eur
"Bucuresti, IF, Crangasi",3 camere  •  64 m²  •  etajul 3/8  •  1988  •  decomandat,110.000 eur
"Arad, AR, Aurel Vlaicu",4 camere  •  97 m²  •  etajul 6/8  •  1986  •  decomandat,81.900 eur
"Bucuresti, IF, Titan",4 camere  •  198 m²  •  etajul 8/8  •  2021  •  decomandat,270.000 eur
"Timisoara, TM, Calea Urseni",2 camere  •  62 m²  •  etajul 2/2  •  2021  •  decomandat,90.000 eur
"Ploiesti, PH, Cantacuzino",3 camere  •  67 m²  •  etajul 6/8  •  1994  •  decomandat,88.800 eur
"Bucuresti, IF, Metalurgiei",2 camere  •  38 m²  •  etajul 3/5  •  2021  •  decomandat,61.500 eur
"Bucuresti, IF, Berceni",3 camere  •  78 m²  •  etajul 6/8  •  1983  •  decomandat,134.999 eur
"Bragadiru, IF, Haliu",2 camere  •  55 m²  •  etajul 2/4  •  2020  •  decomandat,60.000 eur
"Iasi, IS, Bucium",3 camere  •  67 m²  •  etajul 5/5  •  2021  •  decomandat,76.000 eur
"Brasov, BV, Florilor",2 camere  •  50 m²  •  etajul 1  •  1980  •  circular,56.900 eur
"Deva, HD, Gojdu",2 camere  •  44 m²  •  etajul 4/4  •  1970  •  decomandat,46.000 eur
"Bucuresti, IF, P-ta Muncii",2 camere  •  51 m²  •  etajul 9/10  •  1986  •  semidecomandat,139.500 eur
"Chiajna, IF, Central",3 camere  •  72 m²  •  etajul 3/8  •  2020  •  decomandat,75.600 eur
"Bucuresti, IF, Militari",3 camere  •  88 m²  •  etajul 5  •  2021  •  decomandat,105.000 eur
"Bucuresti, IF, Nicolae Grigorescu",2 camere  •  56 m²  •  etajul 3/10  •  1977  •  decomandat,80.000 eur
"Bucuresti, IF, Aparatorii Patriei",4 camere  •  80 m²  •  etajul 6/10  •  1982  •  semidecomandat,115.990 eur
"Chiajna, IF, Central",2 camere  •  55 m²  •  etajul 7/8  •  2020  •  decomandat,58.275 eur
"Targu Mures, MS, Dacia",3 camere  •  60 m²  •  etajul 5  •  1976  •  decomandat,92.000 eur
"Brasov, BV, Tractorul",2 camere  •  68 m²  •  etajul 8  •  2012  •  decomandat,122.000 eur
"Brasov, BV, Bartolomeu",3 camere  •  73 m²  •  etajul 3/3  •  2021  •  decomandat,104.000 eur
"Iasi, IS, Nicolina",3 camere  •  60 m²  •  etajul 3  •  1981  •  decomandat,69.000 eur
"Sibiu, SB, Turnisor",3 camere  •  68 m²  •  etajul 1/4  •  2021  •  semidecomandat,86.000 eur
"Timisoara, TM, Complex Studentesc",3 camere  •  75 m²  •  etajul 1/4  •  1980  •  semidecomandat,130.000 eur
"Bucuresti, IF, Rahova",4 camere  •  59 m²  •  etajul 3/4  •  1974  •  decomandat,50.000 eur
"Iasi, IS, Zona industriala",1 cameră  •  32 m²  •  etajul 2  •  2021  •  semidecomandat,42.000 eur
"Bucuresti, IF, Unirii",2 camere  •  57 m²  •  etajul 7/8  •  1995  •  decomandat,121.000 eur
"Brasov, BV, Triaj",3 camere  •  72 m²  •  etajul 3  •  1980  •  decomandat,95.000 eur
"Bucuresti, IF, Rahova",2 camere  •  47 m²  •  etajul 6/8  •  1982  •  decomandat,69.500 eur
"Timisoara, TM, Torontalului",3 camere  •  64 m²  •  etajul 1/6  •  2021  •  decomandat,105.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  50 m²  •  etajul 7/10  •  1974  •  decomandat,64.000 eur
"Bucuresti, IF, Berceni",2 camere  •  48 m²  •  etajul 2/4  •  1970  •  semidecomandat,90.000 eur
"Bacau, BC, Central",4 camere  •  87 m²  •  etajul 4/4  •  1988  •  decomandat,65.000 eur
"Timisoara, TM, Dacia",1 cameră  •  28 m²  •  etajul 3  •  1982  •  decomandat,41.000 eur
"Floresti, CJ, Central",2 camere  •  39 m²  •  etajul 1/3  •  2011  •  semidecomandat,68.000 eur
"Bucuresti, IF, Lujerului",2 camere  •  54 m²  •  etajul 4/10  •  1980  •  decomandat,99.900 eur
"Iasi, IS, Cug",3 camere  •  67 m²  •  etajul 4  •  1986  •  decomandat,80.000 eur
"Bucuresti, IF, Vitan",3 camere  •  75 m²  •  etajul 9/10  •  1980  •  decomandat,95.000 eur
"Cluj-Napoca, CJ, Iris",2 camere  •  56 m²  •  etajul 2/9  •  2019  •  semidecomandat,153.000 eur
"Floresti, CJ, Central",3 camere  •  70 m²  •  etajul 3/3  •  2019  •  decomandat,115.500 eur
"Bucuresti, IF, Teiul Doamnei",3 camere  •  75 m²  •  etajul 3/8  •  1985  •  decomandat,81.000 eur
"Chiajna, IF, Central",2 camere  •  49 m²  •  etajul 8/8  •  2020  •  decomandat,52.675 eur
"Bucuresti, IF, Chisinau",2 camere  •  39 m²  •  etajul 3/10  •  1975  •  decomandat,55.000 eur
"Bucuresti, IF, Central",2 camere  •  64 m²  •  etajul 3/4  •  1985  •  decomandat,71.000 eur
"Bucuresti, IF, P-ta Unirii",4 camere  •  85 m²  •  etajul 6/7  •  1992  •  decomandat,168.000 eur
"Bucuresti, IF, Militari",2 camere  •  60 m²  •  etajul 4/8  •  2021  •  decomandat,88.571 eur
"Cluj-Napoca, CJ, Someseni",3 camere  •  70 m²  •  etajul 1/4  •  2010  •  semidecomandat,121.000 eur
"Sibiu, SB, Mihai Viteazul",3 camere  •  60 m²  •  etajul 3/4  •  1980  •  decomandat,83.500 eur
"Brasov, BV, Centrul Civic",2 camere  •  42 m²  •  etajul 3  •  1980  •  semidecomandat,67.000 eur
"Brasov, BV, Noua",3 camere  •  51 m²  •  etajul 1  •  1980  •  decomandat,91.000 eur
"Arad, AR, Gradiste",3 camere  •  75 m²  •  etajul 3  •  1980  •  decomandat,65.000 eur
"Brasov, BV, Florilor",2 camere  •  34 m²  •  etajul 4  •  1980  •  semidecomandat,49.000 eur
"Bucuresti, IF, Drumul Taberei",1 cameră  •  36 m²  •  etajul 2/4  •  2010  •  decomandat,53.900 eur
"Timisoara, TM, Lipovei",2 camere  •  48 m²  •  etajul 5/5  •  2010  •  semidecomandat,50.000 eur
"Iasi, IS, Nicolina",1 cameră  •  40 m²  •  etajul 4  •  1984  •  decomandat,47.000 eur
"Bacau, BC, Central",3 camere  •  67 m²  •  etajul 2/2  •  1985  •  decomandat,89.900 eur
"Iasi, IS, Zimbru",2 camere  •  41 m²  •  etajul 3/8  •  1975  •  semidecomandat,44.500 eur
"Timisoara, TM, Girocului",2 camere  •  48 m²  •  etajul 3/4  •  1987  •  decomandat,76.499 eur
"Sibiu, SB, Central",2 camere  •  49 m²  •  etajul 4/4  •  1982  •  decomandat,74.900 eur
"Mamaia, CT, Nord",2 camere  •  88 m²  •  etajul 1  •  2021  •  decomandat,99.000 eur
"Roman, NT, Ultracentral",3 camere  •  70 m²  •  etajul 1  •  1985  •  decomandat,76.900 eur
"Cluj-Napoca, CJ, Manastur",3 camere  •  51 m²  •  etajul 3/4  •  1975  •  semidecomandat,98.000 eur
"Galati, GL, Micro 20",3 camere  •  75 m²  •  etajul 7  •  1980  •  decomandat,105.000 eur
"Bucuresti, IF, Victoriei",2 camere  •  52 m²  •  etajul 3/6  •  2020  •  semidecomandat,136.000 eur
"Braila, BR, Viziru 3",3 camere  •  65 m²  •  etajul 7  •  1980  •  decomandat,60.000 eur
"Bucuresti, IF, Virtutii",4 camere  •  92 m²  •  etajul 8/8  •  1988  •  decomandat,170.000 eur
"Bucuresti, IF, Lujerului",2 camere  •  65 m²  •  etajul 7/10  •  2008  •  decomandat,135.000 eur
"Bucuresti, IF, Pajura",2 camere  •  49 m²  •  etajul 2/4  •  1977  •  decomandat,75.499 eur
"Bragadiru, IF, Haliu",3 camere  •  83 m²  •  etajul 2  •  2019  •  decomandat,64.000 eur
"Iasi, IS, Podu Ros",1 cameră  •  30 m²  •  etajul 1/4  •  1990  •  semidecomandat,40.000 eur
"Iasi, IS, Podu Ros",2 camere  •  36 m²  •  etajul 9  •  1970  •  nedecomandat,45.000 eur
"Sibiu, SB, Mihai Viteazul",2 camere  •  60 m²  •  etajul 2/3  •  2021  •  decomandat,65.000 eur
"Bucuresti, IF, Sebastian",3 camere  •  75 m²  •  etajul 5/8  •  1986  •  decomandat,109.990 eur
"Brasov, BV, Tractorul",2 camere  •  55 m²  •  etajul 3  •  2020  •  decomandat,92.000 eur
"Chiajna, IF, Nord-Vest",3 camere  •  72 m²  •  etajul 1  •  2020  •  decomandat,75.600 eur
"Sibiu, SB, Hipodrom 4",3 camere  •  70 m²  •  etajul 1  •  2018  •  decomandat,104.000 eur
"Popesti Leordeni, IF, Sud",2 camere  •  65 m²  •  etajul 2/3  •  2020  •  decomandat,62.000 eur
"Iasi, IS, Tatarasi",2 camere  •  48 m²  •  etajul 9  •  1970  •  decomandat,61.500 eur
"Arad, AR, Central",2 camere  •  60 m²  •  etajul 1/8  •  2014  •  decomandat,107.000 eur
"Bucuresti, IF, Domenii",3 camere  •  65 m²  •  etajul 3/7  •  2019  •  decomandat,200.000 eur
"Constanta, CT, Dacia",3 camere  •  70 m²  •  etajul 4/4  •  1979  •  decomandat,110.000 eur
"Suceava, SV, George Enescu",4 camere  •  110 m²  •  etajul 4/5  •  1980  •  semidecomandat,80.500 eur
"Iasi, IS, Gara",1 cameră  •  27 m²  •  etajul 1  •  1989  •  decomandat,45.000 eur
"Bucuresti, IF, 1 Decembrie 1918",2 camere  •  43 m²  •  etajul 7/8  •  1975  •  decomandat,59.000 eur
"Ploiesti, PH, Marasesti",3 camere  •  78 m²  •  etajul 9  •  1978  •  decomandat,67.000 eur
