locatie,detalii,pret
"Brasov, BV, Centrul Civic",2 camere  •  45 m²  •  etajul 1  •  1980  •  semidecomandat,90.500 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  54 m²  •  etajul 7  •  1980  •  semidecomandat,70.000 eur
"Bucuresti, IF, Berceni",3 camere  •  61 m²  •  etajul 2/4  •  1970  •  semidecomandat,85.000 eur
"Mogosoaia, IF, Central",5 camere  •  183 m²  •  etajul 3/3  •  2010  •  decomandat,159.000 eur
"Bucuresti, IF, Alexandru Obregia",4 camere  •  85 m²  •  etajul 4/12+  •  1976  •  decomandat,120.900 eur
"Brasov, BV, Scriitorilor",2 camere  •  46 m²  •  etajul 3  •  1980  •  semidecomandat,72.000 eur
"Timisoara, TM, Telegrafului",2 camere  •  50 m²  •  etajul 1/4  •  1986  •  decomandat,85.000 eur
"Tulcea, TL, E3",3 camere  •  68 m²  •  etajul 2  •  1989  •  decomandat,80.000 eur
"Bucuresti, IF, Fundeni",3 camere  •  80 m²  •  etajul 3/5  •  2014  •  decomandat,91.000 eur
"Bucuresti, IF, Calea Calarasilor",3 camere  •  150 m²  •  etajul 7/7  •  2020  •  decomandat,278.000 eur
"Brasov, BV, Bartolomeu",3 camere  •  65 m²  •  etajul 4  •  1980  •  decomandat,77.200 eur
"Alexandria, TR, Central",3 camere  •  68 m²  •  etajul 4/4  •  1979  •  decomandat,57.000 eur
"Galati, GL, Micro 18",3 camere  •  72 m²  •  etajul 6/11  •  1980  •  decomandat,71.500 eur
"Piatra Neamt, NT, Ultracentral",3 camere  •  75 m²  •  etajul 2/4  •  1986  •  decomandat,120.000 eur
"Roman, NT, Est",4 camere  •  80 m²  •  etajul 2  •  1980  •  decomandat,65.000 eur
"Targu Mures, MS, Aleea Carpati",2 camere  •  50 m²  •  etajul 3/4  •  1980  •  semidecomandat,67.000 eur
"Brasov, BV, Tractorul",3 camere  •  72 m²  •  etajul 3  •  1980  •  decomandat,95.000 eur
"Bucuresti, IF, Pantelimon",4 camere  •  89 m²  •  etajul 5/10  •  1981  •  decomandat,102.000 eur
"Tulcea, TL, Piata Noua",3 camere  •  70 m²  •  etajul 4  •  1980  •  decomandat,85.000 eur
"Chiajna, IF, Central",2 camere  •  52 m²  •  etajul 1/7  •  2016  •  decomandat,51.000 eur
"Bucuresti, IF, Alba Iulia",3 camere  •  80 m²  •  etajul 6/7  •  1996  •  decomandat,208.500 eur
"Arad, AR, Ultracentral",3 camere  •  82 m²  •  etajul 3/4  •  1985  •  semidecomandat,84.900 eur
"Constanta, CT, Tomis II",4 camere  •  86 m²  •  etajul 4/7  •  1983  •  decomandat,151.000 eur
"Pitesti, AG, Ultracentral",2 camere  •  55 m²  •  etajul 7  •  1980  •  decomandat,63.900 eur
"Bistrita, BN, Central",4 camere  •  90 m²  •  etajul 1  •  1982  •  decomandat,65.700 eur
"Giroc, TM, Central",3 camere  •  77 m²  •  etajul 1/2  •  2020  •  decomandat,88.000 eur
"Cluj-Napoca, CJ, Europa",2 camere  •  45 m²  •  etajul 1/6  •  2021  •  semidecomandat,120.015 eur
"Deva, HD, Ultracentral",2 camere  •  70 m²  •  etajul 4  •  2005  •  decomandat,89.000 eur
"Timisoara, TM, Aradului",2 camere  •  59 m²  •  etajul 6/7  •  2018  •  decomandat,95.000 eur
"Bucuresti, IF, Tineretului",2 camere  •  54 m²  •  etajul 6/10  •  2016  •  semidecomandat,117.900 eur
"Targoviste, DB, Micro 4",3 camere  •  73 m²  •  etajul 4/4  •  1976  •  decomandat,75.000 eur
"Brasov, BV, Florilor",2 camere  •  34 m²  •  etajul 1  •  1980  •  semidecomandat,60.000 eur
"Brasov, BV, Harmanului",2 camere  •  46 m²  •  etajul 7  •  1980  •  decomandat,76.000 eur
"Resita, CS, Micro II",3 camere  •  54 m²  •  etajul 2/4  •  1978  •  semidecomandat,49.500 eur
"Brasov, BV, Astra",2 camere  •  52 m²  •  etajul 4  •  1980  •  decomandat,76.500 eur
"Slatina, OT, Zahana",4 camere  •  88 m²  •  etajul 4/4  •  1980  •  decomandat,87.000 eur
"Bucuresti, IF, Brancoveanu",2 camere  •  37 m²  •  etajul 1/4  •  1974  •  decomandat,57.990 eur
"Bragadiru, IF, Central",2 camere  •  42 m²  •  etajul 1/3  •  2020  •  semidecomandat,38.000 eur
"Roman, NT, Central",2 camere  •  43 m²  •  etajul 2  •  1980  •  decomandat,29.400 eur
"Brasov, BV, Tractorul",3 camere  •  93 m²  •  etajul 3/3  •  2018  •  decomandat,120.000 eur
"Copsa Mica, SB, Central",2 camere  •  44 m²  •  etajul 1  •  1980  •  semidecomandat,18.000 eur
"Bucuresti, IF, Pantelimon",2 camere  •  51 m²  •  etajul 9/10  •  1978  •  decomandat,67.000 eur
"Tulcea, TL, Neptun",2 camere  •  39 m²  •  etajul 3  •  1990  •  semidecomandat,42.500 eur
